,cnt_displayed_position,avg_displayed_position,impressed_item_ids,ipression_count,CTR
51,965,2.8569948186528498,12363,8829,0.10929890134783102
52,414,9.473429951690822,12378,5207,0.07950835413865949
53,263,7.2965779467680605,12380,6194,0.04246044559250888
54,306,10.627450980392156,12384,5023,0.06091976906231336
55,986,1.567951318458418,12387,2315,0.42591792656587474
56,721,4.199722607489598,12388,7164,0.10064209938581797
57,543,5.226519337016574,12389,4832,0.11237582781456953
58,331,9.169184290030211,12392,3968,0.08341733870967742
59,410,7.224390243902439,12393,4588,0.08936355710549258
60,696,7.334770114942529,12395,6779,0.10267001032600678
61,682,5.045454545454546,12396,7800,0.08743589743589744
62,465,6.167741935483871,12397,5392,0.08623887240356083
63,1114,2.455116696588869,12399,10074,0.11058169545364305
64,304,8.888157894736842,12401,3236,0.09394313967861558
65,262,6.32824427480916,12402,1847,0.14185165132647537
66,259,9.555984555984557,12411,3835,0.06753585397653195
67,282,5.634751773049645,12413,6634,0.042508290624057886
68,619,3.478190630048465,12428,8378,0.07388398185724517
69,425,5.435294117647059,12430,3929,0.10817001781623822
70,360,4.427777777777778,12433,6242,0.05767382249279077
71,360,6.194444444444445,12436,2248,0.1601423487544484
72,471,6.3949044585987265,12438,3028,0.15554821664464993
73,278,6.471223021582734,12442,2047,0.1358085002442599
74,322,6.0186335403726705,12443,3821,0.08427113321120126
75,557,6.791741472172352,12446,5328,0.10454204204204204
76,331,4.7009063444108765,12448,2054,0.1611489776046738
77,270,7.4037037037037035,12453,2086,0.12943432406519656
78,287,5.804878048780488,12479,1190,0.2411764705882353
79,292,3.345890410958904,12498,3059,0.09545603138280484
80,326,3.6319018404907975,12502,3852,0.08463136033229492
81,314,7.726114649681529,12504,1351,0.23242042931162102
82,243,3.97119341563786,12510,2634,0.09225512528473805
83,309,6.576051779935275,12513,7865,0.039287984742530195
84,682,1.3958944281524928,12516,8629,0.0790358094796616
85,503,5.73558648111332,12518,5342,0.09415949082740546
86,246,6.853658536585366,12520,2272,0.10827464788732394
87,956,1.4738493723849373,12521,10745,0.08897161470451373
88,1847,1.218733080671359,12522,12040,0.15340531561461793
89,266,3.7481203007518795,12523,5937,0.04480377294930099
90,454,8.035242290748899,12529,7092,0.06401579244218839
91,363,5.851239669421488,12530,1877,0.19339371337240277
92,701,6.057061340941512,12531,7134,0.09826184468741239
93,281,7.512455516014235,12536,5445,0.05160697887970615
94,475,7.402105263157894,12540,7941,0.05981614406246065
95,312,1.125,12541,1188,0.26262626262626265
96,292,5.732876712328767,12543,8319,0.03510037264094242
97,454,6.405286343612334,12544,8523,0.05326762876921272
98,362,2.958563535911602,12549,1729,0.20936957779063042
99,604,1.5264900662251655,12558,4765,0.1267576075550892
100,364,4.90934065934066,12563,3617,0.1006358860934476
101,776,2.1327319587628866,12564,4920,0.15772357723577235
102,301,7.289036544850498,12571,1888,0.1594279661016949
103,270,10.35925925925926,12579,2542,0.10621557828481511
104,788,6.166243654822335,12583,12475,0.06316633266533066
105,684,2.1637426900584797,12587,8950,0.07642458100558659
106,2243,2.7962550156041015,12594,15220,0.1473718791064389
107,331,7.81570996978852,12595,5317,0.062253150272710174
108,391,5.58312020460358,12597,5349,0.07309777528510002
109,376,9.398936170212766,12602,8358,0.0449868389566882
110,267,6.48314606741573,12604,10130,0.0263573543928924
111,490,4.791836734693877,12606,6106,0.08024893547330494
112,445,7.761797752808989,12608,12286,0.036220087904932446
113,323,7.386996904024768,12610,8993,0.035916824196597356
114,412,4.910194174757281,12611,11461,0.035947997556932204
115,330,7.66969696969697,12613,10200,0.03235294117647059
116,1218,2.3563218390804597,12614,13357,0.09118814104963689
117,656,3.676829268292683,12615,13921,0.047123051504920625
118,275,6.447272727272727,12616,10884,0.025266446159500185
119,904,4.68141592920354,12618,14060,0.06429587482219061
120,701,4.89586305278174,12620,10744,0.06524571854058078
121,2574,1.031857031857032,12624,10891,0.23634193370673032
122,650,5.852307692307693,12625,6757,0.09619653692467071
123,997,3.756268806419258,12630,8545,0.11667641895845524
124,466,7.0665236051502145,12631,6115,0.07620605069501227
125,415,6.983132530120482,12633,6081,0.06824535438250288
126,1667,1.3419316136772645,12634,9195,0.1812941816204459
127,683,3.7291361639824303,12642,4964,0.13759065269943593
128,387,4.614987080103359,12643,6993,0.055341055341055344
129,459,7.647058823529412,12645,5156,0.08902249806051203
130,515,5.405825242718446,12653,6756,0.07622853759621077
131,495,5.864646464646465,12655,6671,0.07420176885024735
132,298,3.48993288590604,12660,5009,0.05949291275703733
133,292,6.9965753424657535,12667,1505,0.19401993355481728
134,483,6.134575569358178,12668,4119,0.11726147123088128
135,302,8.526490066225165,12682,1348,0.22403560830860533
136,356,6.887640449438202,12688,1974,0.18034447821681865
137,268,7.735074626865671,12692,2821,0.09500177242112726
138,1038,5.032755298651252,12694,11240,0.09234875444839857
139,1351,6.6039970392302,12695,9632,0.14026162790697674
140,322,6.456521739130435,12700,4677,0.06884755184947616
141,324,5.003086419753086,12715,3173,0.1021115663410022
142,279,3.129032258064516,12717,524,0.5324427480916031
143,309,8.880258899676376,12762,2841,0.10876451953537487
144,1608,1.8501243781094527,13123,6339,0.25366777094178894
145,629,1.9793322734499206,13435,3362,0.18709101725163593
146,484,8.34297520661157,13845,4949,0.09779753485552636
147,256,10.59375,13857,1808,0.1415929203539823
148,259,8.382239382239382,14030,2250,0.11511111111111111
149,593,1.6644182124789206,14082,3252,0.18234932349323493
150,413,2.0242130750605325,14511,1000,0.413
151,522,7.528735632183908,14644,10735,0.048625989753143924
152,317,0.7129337539432177,14701,841,0.3769322235434007
